Table_One_Id,EmployeeId,Organization,Plot,Admitting,Team_Members,Category_Of_work,Employee_Preparedness,An_Object,Finish_Work_Date ,Subdivision,Work_Manager,Observer,Open_Single_Line_Diagram,Is_Entrusted,Start_Work,Names_Electrical_Installations,Separate_Instractions,Signature,Be_Disconnected,Outfit_Issued,Surname
83,83,Walt Disney,№83,Finch ,"Cushing,Anna E.",work with complete voltage relief,5/17/2016 23:48:02,Mid-rise apartment building;,5/18/2016 11:30:23,technical department,LORRIE KALOS,"England, Rex",Yes,LORRIE KALOS,5/17/2016 23:48:02,,,"Cushing,Anna E.",,"England, Rex",Finch 
84,84,United Technologies,№84,Dreyfuss,"Cutler,Lynn G.",work with partial voltage relief,5/17/2016 23:50:25,Multi-storey apartment building.,5/18/2016 11:32:06,repair and construction team,EDWARD REISKIN,"Erilus, Angela",No,EDWARD REISKIN,5/17/2016 23:50:25,,,"Cutler,Lynn G.",,"Erilus, Angela",Dreyfuss
85,85,American Express,№85,Hoffman,"Dale,Suzanne",work on current-carrying parts,5/17/2016 23:55:09,Low-rise apartment building;,5/18/2016 11:35:47,technical department,JEFFREY MYERS,"Estremera, Miguel",Yes,JEFFREY MYERS,5/17/2016 23:55:09,,,"Dale,Suzanne",,"Estremera, Miguel",Hoffman
86,86,Prudential Financial,№86,Henry ,"Daniels,Brenda J.",work away from current-carrying parts,5/17/2016 23:58:39,Residential building of a blocked development;,5/18/2016 11:38:32,repair and construction team,JONATHAN BAXTER,"Evensen, April",No,JONATHAN BAXTER,5/17/2016 23:58:39,,,"Daniels,Brenda J.",,"Evensen, April",Henry 
87,87,Boeing,№87,Duvall,"Dass,Lisa R.",work with complete voltage relief,5/17/2016 23:59:22,Mid-rise apartment building;,5/18/2016 11:40:44,technical department,MICHAEL BRYANT,"Exantus, Susan",Yes,MICHAEL BRYANT,5/17/2016 23:59:22,,,"Dass,Lisa R.",,"Exantus, Susan",Duvall
88,88,CVS Caremark,№88,Burstyn,"Davis,Lanny Jesse",work with partial voltage relief,5/18/2016 0:02:54,Multi-storey apartment building.,5/18/2016 11:44:10,repair and construction team,KEVIN BARRY,"Faller, Megan ",No,KEVIN BARRY,5/18/2016 0:02:54,,,"Davis,Lanny Jesse",,"Faller, Megan ",Burstyn
89,89,Google,№89,Dunaway,"Del Sesto,Gino J.",work on current-carrying parts,5/18/2016 0:03:12,Low-rise apartment building;,5/18/2016 11:49:16,technical department,EVETTE GEER-STEVENS,"Fancett, Nicole",Yes,EVETTE GEER-STEVENS,5/18/2016 0:03:12,,,"Del Sesto,Gino J.",,"Fancett, Nicole",Dunaway
90,90,Abbott Labaratories,№90,Keaton,"Demeo,Laura K.",work away from current-carrying parts,5/18/2016 0:05:28,Residential building of a blocked development;,5/18/2016 11:50:48,repair and construction team,MARY TSE,"Ferguson, Susan",No,MARY TSE,5/18/2016 0:05:28,,,"Demeo,Laura K.",,"Ferguson, Susan",Keaton
91,91,U.S Bancorp,№91,Fonda,"Dickey,Lana H.",work with complete voltage relief,5/18/2016 0:07:31,Mid-rise apartment building;,5/18/2016 11:56:49,technical department,MARK GONZALES,"Fernandes, Nilson  ",Yes,MARK GONZALES,5/18/2016 0:07:31,,,"Dickey,Lana H.",,"Fernandes, Nilson  ",Fonda
92,92,Caterpillar,№92,Field,"Digiacobbe,Marilyn",work with complete voltage relief,5/18/2016 0:10:56,Multi-storey apartment building.,5/18/2016 11:57:43,repair and construction team,DONNA MEIXNER,"Fett, Boba",No,DONNA MEIXNER,5/18/2016 0:10:56,,,"Digiacobbe,Marilyn",,"Fett, Boba",Field
93,93,Dow Chemical,№93,Spacek,"Dominguez,Marie Theresa",work with partial voltage relief,5/18/2016 0:11:13,Low-rise apartment building;,5/18/2016 12:00:37,technical department,PETE FAY JR,"Fidelia,  Libby",Yes,PETE FAY JR,5/18/2016 0:11:13,,,"Dominguez,Marie Theresa",,"Fidelia,  Libby",Spacek
94,94,The Home Depot,№94,Lange,"Donnelly,Raymond E.,III",work on current-carrying parts,5/18/2016 0:14:54,Residential building of a blocked development;,5/18/2016 12:18:45,repair and construction team,JOHN MURPHY,"Fitzpatrick, Michael  J",No,JOHN MURPHY,5/18/2016 0:14:54,,,"Donnelly,Raymond E.,III",,"Fitzpatrick, Michael  J",Lange
95,95,News Corporation,№95,Paltrow,"Dorskind,James A.",work away from current-carrying parts,5/18/2016 0:15:10,Mid-rise apartment building;,5/18/2016 12:28:26,technical department,REX HALE,"Foreman, Tanya",Yes,REX HALE,5/18/2016 0:15:10,,,"Dorskind,James A.",,"Foreman, Tanya",Paltrow
96,96,Marathon Oil,№96,Berry,"Doufekias,Dimitra",work with complete voltage relief,5/18/2016 0:22:00,Multi-storey apartment building.,5/18/2016 12:29:40,repair and construction team,MIVIC HIROSE,"Forrest, Alex",No,MIVIC HIROSE,5/18/2016 0:22:00,,,"Doufekias,Dimitra",,"Forrest, Alex",Berry
97,97,PNC Financial Sevices,№97,Kidman,"Doyle,Patricia Solis",work with partial voltage relief,5/18/2016 0:23:17,Low-rise apartment building;,5/18/2016 12:35:10,technical department,SARAH CARY,"Foss, Jason",Yes,SARAH CARY,5/18/2016 0:23:17,,,"Doyle,Patricia Solis",,"Foss, Jason",Kidman
98,98,Philip Morris International,№98,Theron,"Droege,Philip C.",work on current-carrying parts,5/18/2016 0:26:34,Residential building of a blocked development;,5/18/2016 12:43:43,repair and construction team,KEVIN SMITH,"Foster-Baker, Amy",No,KEVIN SMITH,5/18/2016 0:26:34,,,"Droege,Philip C.",,"Foster-Baker, Amy",Theron
99,99,United Parcel Service,№99,Wick,"Dudley,Jennifer D.",work away from current-carrying parts,5/18/2016 0:28:30,Mid-rise apartment building;,5/18/2016 12:47:44,technical department,GREGORY STANGLAND,"Fraval, Maruk ",Yes,GREGORY STANGLAND,5/18/2016 0:28:30,,,"Dudley,Jennifer D.",,"Fraval, Maruk ",Wick
100,100,Target,№100,Constantine,"Duncan,Charles N.",work with complete voltage relief,5/18/2016 0:35:13,Multi-storey apartment building.,5/18/2016 13:09:29,repair and construction team,SONALI BOSE,"Galia, Lisa",No,SONALI BOSE,5/18/2016 0:35:13,,,"Duncan,Charles N.",,"Galia, Lisa",Constantine
101,101,JPMorgan Chase,№101,Anderson,"Duque,Ana Maria",work with partial voltage relief,5/18/2016 0:36:07,Low-rise apartment building;,5/18/2016 13:14:18,technical department,KEVIN TAYLOR,"Garcia, Raul",Yes,KEVIN TAYLOR,5/18/2016 0:36:07,,,"Duque,Ana Maria",,"Garcia, Raul",Anderson
102,102,General Electric,№102,Telles,"Duval,Fred",work on current-carrying parts,5/18/2016 0:40:40,Residential building of a blocked development;,5/18/2016 13:20:41,repair and construction team,ERIKA HOO,"Gaul, Barbara",No,ERIKA HOO,5/18/2016 0:40:40,,,"Duval,Fred",,"Gaul, Barbara",Telles
103,103,ExxonMobil,№103,Maradona,"Eaglin,Ruth A.",work away from current-carrying parts,5/18/2016 0:40:52,Mid-rise apartment building;,5/18/2016 13:26:22,technical department,LAUIFI SEUMAALA,"Gentry, Mildred",Yes,LAUIFI SEUMAALA,5/18/2016 0:40:52,,,"Eaglin,Ruth A.",,"Gentry, Mildred",Maradona
104,104,Berkshire Hathaway,№104,Ronaldo,"Echaveste,Maria",work with complete voltage relief,5/18/2016 0:41:52,Multi-storey apartment building.,5/18/2016 13:27:16,repair and construction team,EDWARD DENNIS,"Gerke, Melisa",No,EDWARD DENNIS,5/18/2016 0:41:52,,,"Echaveste,Maria",,"Gerke, Melisa",Ronaldo
105,105,Citigroup,№105,Tal,"Eder,Ann T.",work with complete voltage relief,5/18/2016 0:44:01,Low-rise apartment building;,5/18/2016 14:09:34,technical department,PATRIC STEELE,"Gill, Whitney  ",Yes,PATRIC STEELE,5/18/2016 0:44:01,,,"Eder,Ann T.",,"Gill, Whitney  ",Tal
106,106,Wells Fargo,№106,Bates,"Edmonds,James Terry",work with partial voltage relief,5/18/2016 0:45:43,Residential building of a blocked development;,5/18/2016 14:15:46,repair and construction team,MICHAEL WALSH,"Gilles, Alex",No,MICHAEL WALSH,5/18/2016 0:45:43,,,"Edmonds,James Terry",,"Gilles, Alex",Bates
107,107,AT&T,№107,Kidman,"Edwards,Anne M.",work on current-carrying parts,5/18/2016 0:50:46,Mid-rise apartment building;,5/18/2016 14:18:29,technical department,SAMSON LAI,"Girifalco, Evelyn",Yes,SAMSON LAI,5/18/2016 0:50:46,,,"Edwards,Anne M.",,"Girifalco, Evelyn",Kidman
108,108,Chevron,№108,Milland,"Emanuel,Rahm I.",work away from current-carrying parts,5/18/2016 0:50:50,Multi-storey apartment building.,5/18/2016 14:18:35,repair and construction team,ANA SAMPERA,"Givens, Myriam",No,ANA SAMPERA,5/18/2016 0:50:50,,,"Emanuel,Rahm I.",,"Givens, Myriam",Milland
109,109,Walmart,№109,March,"Engskov,Paul Kristian,Jr.",work with complete voltage relief,5/18/2016 0:51:07,Low-rise apartment building;,5/18/2016 14:22:02,technical department,GLORIA GARCIA ORME,"Goble, Taisha",Yes,GLORIA GARCIA ORME,5/18/2016 0:51:07,,,"Engskov,Paul Kristian,Jr.",,"Goble, Taisha",March
110,110,ConocoPhillips,№110,Brynner,"Erichsen,Peter C.",work with partial voltage relief,5/18/2016 0:54:09,Residential building of a blocked development;,5/18/2016 14:22:58,repair and construction team,SCOTT SCHOLZEN,"Goeth, Amon",No,SCOTT SCHOLZEN,5/18/2016 0:54:09,,,"Erichsen,Peter C.",,"Goeth, Amon",Brynner
111,111,American International Group,№111,Crawford,"Evans,Madalene E. W.",work on current-carrying parts,5/18/2016 0:57:21,Mid-rise apartment building;,5/18/2016 14:27:25,technical department,MARK SMITH,"Gold, Shenice  ",Yes,MARK SMITH,5/18/2016 0:57:21,,,"Evans,Madalene E. W.",,"Gold, Shenice  ",Crawford
112,112,IBM,№112,Wyman,"Evans,Wanda M.",work away from current-carrying parts,5/18/2016 1:12:10,Multi-storey apartment building.,5/18/2016 14:27:31,repair and construction team,C PETRUZZELLA,"Gonzalez, Cayo",No,C PETRUZZELLA,5/18/2016 1:12:10,,,"Evans,Wanda M.",,"Gonzalez, Cayo",Wyman
113,113,Procter&Gamble,№113,Magnani,"Fahle,Karen C.",work with complete voltage relief,5/18/2016 1:13:28,Low-rise apartment building;,5/18/2016 14:33:38,technical department,JOHN HALEY JR,"Gonzalez, Juan",Yes,JOHN HALEY JR,5/18/2016 1:13:28,,,"Fahle,Karen C.",,"Gonzalez, Juan",Magnani
114,114,Pfizer,№114,Hepburn,"Falk,Deborah Lyn",work with partial voltage relief,5/18/2016 1:13:43,Residential building of a blocked development;,5/18/2016 14:37:56,repair and construction team,NELA PONFERRADA,"Gonzalez, Maria",No,NELA PONFERRADA,5/18/2016 1:13:43,,,"Falk,Deborah Lyn",,"Gonzalez, Maria",Hepburn
115,115,Goldman Sachs,№115,Hepburn,"Feinberg,Sheelah A.",work on current-carrying parts,5/18/2016 1:17:35,Mid-rise apartment building;,5/18/2016 14:52:26,technical department,CHARLES SCOTT,"Good, Susan",Yes,CHARLES SCOTT,5/18/2016 1:17:35,,,"Feinberg,Sheelah A.",,"Good, Susan",Hepburn
116,116,Hewlett-Packard,№116,Streisand,"Finch,James",work away from current-carrying parts,5/18/2016 1:18:39,Multi-storey apartment building.,5/18/2016 14:58:17,repair and construction team,LISETTE ADAMS,"Gordon, David",No,LISETTE ADAMS,5/18/2016 1:18:39,,,"Finch,James",,"Gordon, David",Streisand
117,117,Apple,№117,Smith,"Finney,Karen Elizabeth",work with complete voltage relief,5/18/2016 1:20:07,Low-rise apartment building;,5/18/2016 15:02:09,technical department,JACKSON WONG,"Gosciminski, Phylicia  ",Yes,JACKSON WONG,5/18/2016 1:20:07,,,"Finney,Karen Elizabeth",,"Gosciminski, Phylicia  ",Smith
118,118,Microsoft,№118,Jackson,"Fisher,Everlene H.",work with complete voltage relief,5/18/2016 1:20:46,Residential building of a blocked development;,5/18/2016 15:14:25,repair and construction team,IRENE SUNG,"Goyal, Roxana",No,IRENE SUNG,5/18/2016 1:20:46,,,"Fisher,Everlene H.",,"Goyal, Roxana",Jackson
119,119,Ford,№119,Fonda,"Foley,Martha",work with partial voltage relief,5/18/2016 1:21:32,Mid-rise apartment building;,5/18/2016 15:39:29,technical department,KHAIRUL ALI,"Gray, Elijiah  ",Yes,KHAIRUL ALI,5/18/2016 1:21:32,,,"Foley,Martha",,"Gray, Elijiah  ",Fonda
120,120,Johnson&Johnson,№120,Schell,"Footlik,Jay K.",work on current-carrying parts,5/18/2016 1:21:57,Multi-storey apartment building.,5/18/2016 15:43:14,repair and construction team,LESLIE DUBBIN,"Gross, Paula",No,LESLIE DUBBIN,5/18/2016 1:21:57,,,"Footlik,Jay K.",,"Gross, Paula",Schell
121,121,General Motors,№121,Peck,"Forbes,Jeffrey A.",work away from current-carrying parts,5/18/2016 1:24:26,Low-rise apartment building;,5/18/2016 15:49:52,technical department,MICHAEL CASTAGNOLA,"Gruber, Hans",Yes,MICHAEL CASTAGNOLA,5/18/2016 1:24:26,,,"Forbes,Jeffrey A.",,"Gruber, Hans",Peck
122,122,Verizon Communications,№122,Poitier,"Forgue,Tom",work with complete voltage relief,5/18/2016 1:24:33,Residential building of a blocked development;,5/18/2016 15:56:31,repair and construction team,SHELLEY MITCHELL,"Guilianno, Mike",No,SHELLEY MITCHELL,5/18/2016 1:24:33,,,"Forgue,Tom",,"Guilianno, Mike",Poitier
123,123,Morgan Stanley,№123,Harrison,"Fowler,Donald L.,Jr.",work with partial voltage relief,5/18/2016 1:33:14,Mid-rise apartment building;,5/18/2016 16:06:26,technical department,SEAN BONETTI,"Handschiegl, Joanne",Yes,SEAN BONETTI,5/18/2016 1:33:14,,,"Fowler,Donald L.,Jr.",,"Handschiegl, Joanne",Harrison
124,124,MetLife,№124,Marvin,"Fowler,Carmen B.",work on current-carrying parts,5/18/2016 1:35:21,Multi-storey apartment building.,5/18/2016 16:10:52,repair and construction team,SUSAN ILNICKI,"Hankard, Earnest",No,SUSAN ILNICKI,5/18/2016 1:35:21,,,"Fowler,Carmen B.",,"Hankard, Earnest",Marvin
125,125,PepsiCo,№125,Scofield,"Freedman,Thomas L.",work away from current-carrying parts,5/18/2016 1:35:25,Low-rise apartment building;,5/18/2016 16:16:17,technical department,TYRONNE JULIAN,"Harrington, Christie ",Yes,TYRONNE JULIAN,5/18/2016 1:35:25,,,"Freedman,Thomas L.",,"Harrington, Christie ",Scofield
126,126,Cisco Systems,№126,Steiger,"Freeland,Ben A.",work with complete voltage relief,5/18/2016 1:42:06,Residential building of a blocked development;,5/18/2016 16:26:15,repair and construction team,SHARON FERRIGNO,"Harrison, Kara",No,SHARON FERRIGNO,5/18/2016 1:42:06,,,"Freeland,Ben A.",,"Harrison, Kara",Steiger
127,127,Coca-Cola,№127,Wayne,"Freeman,Myra B.",work with partial voltage relief,5/18/2016 1:49:54,Mid-rise apartment building;,5/18/2016 16:30:50,technical department,SHANNON SAKOWSKI,"Heitzman, Anthony",Yes,SHANNON SAKOWSKI,5/18/2016 1:49:54,,,"Freeman,Myra B.",,"Heitzman, Anthony",Wayne
128,128,Intel,№128,Hackman,"Friendly,Andrew",work on current-carrying parts,5/18/2016 1:52:46,Multi-storey apartment building.,5/18/2016 16:45:55,repair and construction team,JOHN HICKEY,"Hendrickson, Trina",No,JOHN HICKEY,5/18/2016 1:52:46,,,"Friendly,Andrew",,"Hendrickson, Trina",Hackman
129,129,Comcast,№129,Brando,"Gaines,Jeremy M.",work away from current-carrying parts,5/18/2016 1:54:43,Low-rise apartment building;,5/18/2016 16:54:02,technical department,GLEN KOJIMOTO,"Hitchcock, Alfred",Yes,GLEN KOJIMOTO,5/18/2016 1:54:43,,,"Gaines,Jeremy M.",,"Hitchcock, Alfred",Brando
130,130,Kraft Foods,№130,Lemmon,"Garner,Barbara J.",work with complete voltage relief,5/18/2016 1:55:09,Residential building of a blocked development;,5/18/2016 17:06:18,repair and construction team,EDWARD CHU,"Homberger, Adrienne  J",No,EDWARD CHU,5/18/2016 1:55:09,,,"Garner,Barbara J.",,"Homberger, Adrienne  J",Lemmon
131,131,UnitedHealth Group,№131,Nicholson,"Gerwitz,Dianna Marie",work with complete voltage relief,5/18/2016 1:55:46,Mid-rise apartment building;,5/18/2016 17:21:23,technical department,SOFIA MATHEWS,"Horton, Jayne",Yes,SOFIA MATHEWS,5/18/2016 1:55:46,,,"Gerwitz,Dianna Marie",,"Horton, Jayne",Nicholson
132,132,Oracle,№132,Finch ,"Gibson,Jessica Law",work with partial voltage relief,5/18/2016 1:55:52,Multi-storey apartment building.,5/18/2016 17:23:36,repair and construction team,EDMUND DEA,"Houlihan, Debra",No,EDMUND DEA,5/18/2016 1:55:52,,,"Gibson,Jessica Law",,"Houlihan, Debra",Finch 
133,133,Walt Disney,№133,Dreyfuss,"Gillespie,Christopher J.",work on current-carrying parts,5/18/2016 1:56:41,Low-rise apartment building;,5/18/2016 17:26:15,technical department,JOHN RAHAIM,"Howard, Estelle",Yes,JOHN RAHAIM,5/18/2016 1:56:41,,,"Gillespie,Christopher J.",,"Howard, Estelle",Dreyfuss
134,134,United Technologies,№134,Hoffman,"Goldoerg,Adam William",work away from current-carrying parts,5/18/2016 1:58:47,Residential building of a blocked development;,5/18/2016 17:35:04,repair and construction team,WILLIAM ROUALDES,"Hudson, Jane",No,WILLIAM ROUALDES,5/18/2016 1:58:47,,,"Goldoerg,Adam William",,"Hudson, Jane",Hoffman
135,135,American Express,№135,Henry ,"Goldberg,Donald F.",work with complete voltage relief,5/18/2016 2:06:32,Mid-rise apartment building;,5/18/2016 17:38:45,technical department,ZACHARY PUMPHREY,"Hunts, Julissa",Yes,ZACHARY PUMPHREY,5/18/2016 2:06:32,,,"Goldberg,Donald F.",,"Hunts, Julissa",Henry 
136,136,Prudential Financial,№136,Duvall,"Goldberg,Jason Seth",work with partial voltage relief,5/18/2016 2:12:29,Multi-storey apartment building.,5/18/2016 17:41:25,repair and construction team,MARK CASTAGNOLA,"Hutter, Rosalie",No,MARK CASTAGNOLA,5/18/2016 2:12:29,,,"Goldberg,Jason Seth",,"Hutter, Rosalie",Duvall
137,137,Boeing,№137,Burstyn,"Goldenbaum,Andrew",work on current-carrying parts,5/18/2016 2:13:08,Low-rise apartment building;,5/18/2016 17:50:03,technical department,NIKOLAS LEMOS,"Huynh, Ming",Yes,NIKOLAS LEMOS,5/18/2016 2:13:08,,,"Goldenbaum,Andrew",,"Huynh, Ming",Burstyn
138,138,CVS Caremark,№138,Dunaway,"Gonzales,Ricardo M.",work away from current-carrying parts,5/18/2016 2:16:27,Residential building of a blocked development;,5/18/2016 18:11:01,repair and construction team,MICHAEL CARLIN,"Immediato, Walter",No,MICHAEL CARLIN,5/18/2016 2:16:27,,,"Gonzales,Ricardo M.",,"Immediato, Walter",Dunaway
139,139,Google,№139,Keaton,"Good,Terry W.",work with complete voltage relief,5/18/2016 2:24:07,Mid-rise apartment building;,5/18/2016 18:19:32,technical department,JESSE SMITH,"Ivey, Rose ",Yes,JESSE SMITH,5/18/2016 2:24:07,,,"Good,Terry W.",,"Ivey, Rose ",Keaton
140,140,Abbott Labaratories,№140,Fonda,"Goodin,D. Stephen",work with partial voltage relief,5/18/2016 2:27:11,Multi-storey apartment building.,5/18/2016 18:22:30,repair and construction team,THERESE STEWART,"Jackson, Maryellen",No,THERESE STEWART,5/18/2016 2:27:11,,,"Goodin,D. Stephen",,"Jackson, Maryellen",Fonda
141,141,U.S Bancorp,№141,Field,"Goodwin,Donald Ray",work on current-carrying parts,5/18/2016 2:28:29,Low-rise apartment building;,5/18/2016 18:29:58,technical department,MARISA MORET,"Jacobi, Hannah  ",Yes,MARISA MORET,5/18/2016 2:28:29,,,"Goodwin,Donald Ray",,"Jacobi, Hannah  ",Field
142,142,Caterpillar,№142,Spacek,"Goosby,Eric",work away from current-carrying parts,5/18/2016 2:28:37,Residential building of a blocked development;,5/18/2016 18:31:55,repair and construction team,LUIS IBARRA-RIVERA,"Jeannite, Tayana",No,LUIS IBARRA-RIVERA,5/18/2016 2:28:37,,,"Goosby,Eric",,"Jeannite, Tayana",Spacek
143,143,Dow Chemical,№143,Lange,"Gordon,Janet V.",work with complete voltage relief,5/18/2016 2:35:32,Mid-rise apartment building;,5/18/2016 18:32:30,technical department,GERALD DARCY,"Jhaveri, Sneha  ",Yes,GERALD DARCY,5/18/2016 2:35:32,,,"Gordon,Janet V.",,"Jhaveri, Sneha  ",Lange
144,144,The Home Depot,№144,Paltrow,"Graham,Laura A.",work with complete voltage relief,5/18/2016 2:38:51,Multi-storey apartment building.,5/18/2016 18:44:01,repair and construction team,DONNIE HORNBUCKLE,"Johnson, George",No,DONNIE HORNBUCKLE,5/18/2016 2:38:51,,,"Graham,Laura A.",,"Johnson, George",Paltrow
145,145,News Corporation,№145,Berry,"Graham,Lottie B.",work with partial voltage relief,5/18/2016 2:40:05,Low-rise apartment building;,5/18/2016 18:53:06,technical department,SANDRA TONG,"Johnson, Noelle ",Yes,SANDRA TONG,5/18/2016 2:40:05,,,"Graham,Lottie B.",,"Johnson, Noelle ",Berry
146,146,Marathon Oil,№146,Kidman,"Granger,Theresa Faye",work on current-carrying parts,5/18/2016 2:42:02,Residential building of a blocked development;,5/18/2016 18:54:31,repair and construction team,ANTHONY DUMONT,"Johnston, Yen",No,ANTHONY DUMONT,5/18/2016 2:42:02,,,"Granger,Theresa Faye",,"Johnston, Yen",Kidman
147,147,PNC Financial Sevices,№147,Theron,"Grant,Michael",work away from current-carrying parts,5/18/2016 2:51:15,Mid-rise apartment building;,5/18/2016 18:55:04,technical department,THERESA DENTONI,"Jung, Judy  ",Yes,THERESA DENTONI,5/18/2016 2:51:15,,,"Grant,Michael",,"Jung, Judy  ",Theron
148,148,Philip Morris International,№148,Wick,"Green,Erin E.",work with complete voltage relief,5/18/2016 2:53:44,Multi-storey apartment building.,5/18/2016 19:02:22,repair and construction team,TIM AREJA,"Kampew, Donysha",No,TIM AREJA,5/18/2016 2:53:44,,,"Green,Erin E.",,"Kampew, Donysha",Wick
149,149,United Parcel Service,№149,Constantine,"Green,Jeffrey",work with partial voltage relief,5/18/2016 2:58:31,Low-rise apartment building;,5/18/2016 19:02:28,technical department,SIU-KWAN CHOW,"Keatts, Kramer ",Yes,SIU-KWAN CHOW,5/18/2016 2:58:31,,,"Green,Jeffrey",,"Keatts, Kramer ",Constantine
150,150,Target,№150,Anderson,"Green,Julia R.",work on current-carrying parts,5/18/2016 3:04:00,Residential building of a blocked development;,5/18/2016 19:10:28,repair and construction team,PATRICIA CARR,"Khemmich, Bartholemew",No,PATRICIA CARR,5/18/2016 3:04:00,,,"Green,Julia R.",,"Khemmich, Bartholemew",Anderson
151,151,JPMorgan Chase,№151,Telles,"Greenstein,Carrie E.",work away from current-carrying parts,5/18/2016 3:06:09,Mid-rise apartment building;,5/18/2016 19:11:07,technical department,RASMI CHAN,"King, Janet",Yes,RASMI CHAN,5/18/2016 3:06:09,,,"Greenstein,Carrie E.",,"King, Janet",Telles
152,152,General Electric,№152,Maradona,"Hankins,Marjorie S.",work with complete voltage relief,5/18/2016 3:06:44,Multi-storey apartment building.,5/18/2016 19:11:37,repair and construction team,MICHAEL KEARNEY,"Kinsella, Kathleen  ",No,MICHAEL KEARNEY,5/18/2016 3:06:44,,,"Hankins,Marjorie S.",,"Kinsella, Kathleen  ",Maradona
153,153,ExxonMobil,№153,Ronaldo,"Hanlin,Kirk T.",work with partial voltage relief,5/18/2016 3:26:59,Low-rise apartment building;,5/18/2016 19:36:46,technical department,MATTHEW MCNAUGHTON,"Kirill, Alexandra  ",Yes,MATTHEW MCNAUGHTON,5/18/2016 3:26:59,,,"Hanlin,Kirk T.",,"Kirill, Alexandra  ",Ronaldo
154,154,Berkshire Hathaway,№154,Tal,"Hazard,Susan L.",work on current-carrying parts,5/18/2016 3:28:33,Residential building of a blocked development;,5/18/2016 19:55:31,repair and construction team,JOHN CAVANAUGH,"Knapp, Bradley  J",No,JOHN CAVANAUGH,5/18/2016 3:28:33,,,"Hazard,Susan L.",,"Knapp, Bradley  J",Tal
155,155,Citigroup,№155,Bates,"Hendrix,Eunice C.",work away from current-carrying parts,5/18/2016 3:28:56,Mid-rise apartment building;,5/18/2016 19:59:35,technical department,WHITNEY YEE,"Kretschmer, John",Yes,WHITNEY YEE,5/18/2016 3:28:56,,,"Hendrix,Eunice C.",,"Kretschmer, John",Bates
156,156,Wells Fargo,№156,Kidman,"Henning,Madge Huber",work with complete voltage relief,5/18/2016 3:36:07,Multi-storey apartment building.,5/18/2016 20:21:12,repair and construction team,STEVEN MANNINA,"Kreuger, Freddy",No,STEVEN MANNINA,5/18/2016 3:36:07,,,"Henning,Madge Huber",,"Kreuger, Freddy",Kidman
157,157,AT&T,№157,Milland,"Hernandez,David",work with complete voltage relief,5/18/2016 3:43:25,Low-rise apartment building;,5/18/2016 20:27:47,technical department,EDGAR CALLEJAS,"Lajiri,  Jyoti",Yes,EDGAR CALLEJAS,5/18/2016 3:43:25,,,"Hernandez,David",,"Lajiri,  Jyoti",Milland
158,158,Chevron,№158,March,"Hernreich,Nancy V.",work with partial voltage relief,5/18/2016 3:46:31,Residential building of a blocked development;,5/18/2016 20:42:15,repair and construction team,L MILITELLO,"Landa, Hans",No,L MILITELLO,5/18/2016 3:46:31,,,"Hernreich,Nancy V.",,"Landa, Hans",March
159,159,Walmart,№159,Brynner,"Higgins,Kathryn O'Leary",work on current-carrying parts,5/18/2016 3:47:09,Mid-rise apartment building;,5/18/2016 22:12:35,technical department,MICHAEL BIEL,"Langford, Lindsey",Yes,MICHAEL BIEL,5/18/2016 3:47:09,,,"Higgins,Kathryn O'Leary",,"Langford, Lindsey",Brynner
160,160,ConocoPhillips,№160,Crawford,"Hilley,John L.",work away from current-carrying parts,5/18/2016 3:49:14,Multi-storey apartment building.,5/18/2016 22:25:37,repair and construction team,DEBRA JOHNSON,"Langton, Enrico",No,DEBRA JOHNSON,5/18/2016 3:49:14,,,"Hilley,John L.",,"Langton, Enrico",Crawford
161,161,American International Group,№161,Wyman,"Hoover,Jay W.",work with complete voltage relief,5/18/2016 3:51:31,Low-rise apartment building;,5/18/2016 22:44:29,technical department,HAROLD BYRD,"LaRotonda, William  ",Yes,HAROLD BYRD,5/18/2016 3:51:31,,,"Hoover,Jay W.",,"LaRotonda, William  ",Wyman
162,162,IBM,№162,Magnani,"Horn,Stephen K.",work with partial voltage relief,5/18/2016 4:02:09,Residential building of a blocked development;,5/18/2016 22:47:23,repair and construction team,KARL JURGENSON,"Latif, Mohammed",No,KARL JURGENSON,5/18/2016 4:02:09,,,"Horn,Stephen K.",,"Latif, Mohammed",Magnani
163,163,Procter&Gamble,№163,Hepburn,"Hothem,Eric P.",work on current-carrying parts,5/18/2016 4:05:46,Mid-rise apartment building;,5/18/2016 22:51:34,technical department,JULIE LABONTE,"Le, Binh",Yes,JULIE LABONTE,5/18/2016 4:05:46,,,"Hothem,Eric P.",,"Le, Binh",Hepburn
164,164,Pfizer,№164,Hepburn,"Houser,Everett D.",work away from current-carrying parts,5/18/2016 4:16:01,Multi-storey apartment building.,5/18/2016 23:00:50,repair and construction team,JOHN BRAGAGNOLO,"Leach, Dallas",No,JOHN BRAGAGNOLO,5/18/2016 4:16:01,,,"Houser,Everett D.",,"Leach, Dallas",Hepburn
165,165,Goldman Sachs,№165,Streisand,"Houser,Robert C.",work with complete voltage relief,5/18/2016 4:23:37,Low-rise apartment building;,5/18/2016 23:21:49,technical department,OSCAR CABRERA,"LeBlanc, Brandon  R",Yes,OSCAR CABRERA,5/18/2016 4:23:37,,,"Houser,Robert C.",,"LeBlanc, Brandon  R",Streisand
