Table_four_id,place_work,number,hazards_risks_id,date,company,job_task,members_group,stages_of work,Possible_potential_accidents,control_measures,are_there_control_measures
198,2328 S DEARBORN ST,111413,198,2/10/2017,HENRY BOOTH HOUSE 01|CLEANED-UP,,"Navathe, Kurt",,,,yes
199,332 S MICHIGAN AVE,116006,199,9/26/2011,Claridigm Inc,,"Ndzi, Colombui",,,,yes
200,6054 S DREXEL AVE,116002,200,4/1/2013,CHAPIN HALL CENTER FOR CHILDREN,,"Ndzi, Horia",,,,no
201,6054 S DREXEL AVE,115945,201,5/12/2014,UNIVERSITY OF CHICAGO 03,,"Newman, Richard ",,,,yes
202,PLAZA ARMS,96136,202,4/1/2013,SINGLE ROOM HOUSING ASSISTANCE CORPORATION,,"Ngodup, Shari ",,,,no
203,DEPT CH 0075,115882,203,7/8/2013,MSC INDUSTRIAL SUPPLY CO,,"Nguyen, Dheepa",,,,yes
204,3402 S MARSHFIELD AVE,115920,204,7/8/2013,JUAN A CHAVEZ,,"Nguyen, Lei-Ming",,,,no
205,4403 FORBES BOULEVARD EFT,104330,205,11/10/2014,SAFEWARE,,"Nowlan, Kristie",,,,yes
206,208 S LASALLE STREET EFT  6026,31794,206,3/31/2014,"HEARTLAND HUMAN CARE SERVICES, INC.",,"O'hare, Lynn",,,,no
207,6816 N LAKEWOOD AVE,115919,207,5/14/2012,JOHN PREUS,,"Oliver, Brooke ",,,,yes
208,39 W 866 FABYAN PKWY,64933,208,9/30/2013,ILLINOIS CONSTRUCTORS CORP,,"Onque, Jasmine",,,,yes
209,935 W CHESTNUT ST STE 20,78019,209,9/30/2013,BIGANE PAVING COMPANY/O PLOTE CONSTRUCTION INC JV,,"Osturnka, Adeel",,,,no
210,5515 N EAST RIVER ROAD EFT XX  2356,31553,210,2/17/2014,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",,"Owad, Clinton",,,,yes
211,5515 N EAST RIVER ROAD EFT,100099,211,1/5/2015,"F.H. PASCHEN S.N. NIELSEN & ASSOCIATES, LLC",,"Ozark, Travis",,,,no
212,1500 EXECUTIVE DR,81226,212,2/7/2011,IHC CONSTRUCTION & F.H. PASCHEN S.N. NIELSEN,,"Panjwani, Nina",,,,yes
213,935 W CHESTNUT ST STE 20,64954,213,11/7/2011,BIGANE PAVING COMPANY/O PLOTE CONSTRUCTION INC JV,,"Patronick, Lucas",,,,no
214,6231-6233 N PULASKI RD,31956,214,12/1/2014,CAPITOL CEMENT CO INC,,"Pearson, Randall",,,,yes
215,C. D/B/A MQ CONSTRUCTION CO,33827,215,1/10/2011,M.Q. SEWER & WATER CONTRACTORS,,"Smith, Martin",,,,no
216,929 W ADAMS STREET EFT,94126,216,7/5/2011,"WALSH CONSTRUCTION COMPANY II, LLC.",,"Pelletier, Ermine",,,,yes
217,571 W JACKSON BLVD,115854,217,5/16/2011,SAFER FOUNDATION 01,,"Perry, Shakira",,,,yes
218,929 W ADAMS STREET EFT,94126,218,5/16/2011,"WALSH CONSTRUCTION COMPANY II, LLC.",,"Peters, Lauren",,,,no
219,935 W CHESTNUT ST STE 20,33609,219,10/25/2010,BIGANE PAVING COMPANY/O PLOTE CONSTRUCTION INC JV,,"Peterson, Ebonee  ",,,,yes
220,4150 W WRIGHTWOOD AVE FL 1ST,77464,220,4/2/2012,"SUMIT CONSTRUCTION CO., INC.",,"Petingill, Shana  ",,,,no
221,C. D/B/A MQ CONSTRUCTION CO,79560,221,11/10/2014,M.Q. SEWER & WATER CONTRACTORS,,"Petrowsky, Thelma",,,,yes
222,4403 FORBES BOULEVARD EFT,111216,222,7/5/2011,SAFEWARE,,"Pham, Hong",,,,no
223,929 W ADAMS STREET EFT,94126,223,11/5/2007,"WALSH CONSTRUCTION COMPANY II, LLC.",,"Pitt, Brad ",,,,yes
224,801 N DEARBORN ST,112080,224,1/9/2012,YOUNG MEN'S CHRISTIAN ASSOCIATION OF CHICAGO,,"Potts, Xana",,,,no
225,5515 N EAST RIVER ROAD EFT,76224,225,5/16/2011,"F.H. PASCHEN S.N. NIELSEN & ASSOCIATES, LLC",,"Power, Morissa",,,,yes
226,4150 S KING DRIVE EFT,115746,226,1/6/2014,CENTERS FOR NEW HORIZONS 01,,"Punjabhi, Louis  ",,,,yes
227,119 E GARFIELD BOULEVARD EFT,101375,227,9/24/2012,K.L.E.O. COMMUNITY FAMILY LIFE CENTER|CLEANED-UP,,"Purinton, Janine",,,,no
228,4753 N BROADWAY STE 632,98714,228,2/21/2011,"APNA GHAR, INC.",,"Quinn, Sean",,,,yes
229,222 S RIVERSIDE PLAZA EFT,100283,229,10/2/2016,COMMUNITY INITIATIVES INC,,"Rachael, Maggie",,,,no
230,222 S RIVERSIDE PLAZA EFT,100973,230,9/26/2011,COMMUNITY INITIATIVES INC,,"Rarrick, Quinn",,,,yes
231,1655 W CORTLAND ST,115482,231,5/12/2014,TRAP DOOR PRODUCTIONS,,"Ren, Kylo",,,,no
232,3429 W DIVERSEY AVE STE 208,115481,232,5/16/2011,VOICE OF THE CITY,,"Rhoads, Thomas",,,,yes
233,7558 S CHICAGO AVE,115484,233,11/28/2011,ETA CREATIVE ARTS FOUNDATION,,"Rivera, Haley  ",,,,no
234,717 W 18TH ST # B,94246,234,9/26/2011,FRANCISCAN OUTREACH,,"Roberson, May",,,,yes
235,4916 S LEAMINGTON AVE,115460,235,7/5/2011,JAMES JANKOWIAK,,"Robertson, Peter",,,,yes
236,6054 S DREXEL AVE,85040,236,1/10/2011,UNIVERSITY OF CHICAGO 03,,"Robinson, Alain  ",,,,no
237,5540 S HYDE PARK BLVD # 224,115487,237,1/10/2011,SOUTH CHICAGO DANCE THEATRE,,"Robinson, Cherly",,,,yes
238,1 E BANKS ST,96107,238,7/8/2013,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO,,"Robinson, Elias",,,,no
239,180 N MICHIGAN AVE STE 1200  EFT,51554,239,2/16/2015,PUBLIC HEALTH INSTITUTE OF METROPOLITAN CHICAGO,,"Roby, Lori ",,,,yes
240,4318 W IRVING PARK RD,115474,240,1/5/2015,UPBEAT MUSIC AND ARTS,,"Roehrich, Bianca",,,,no
241,2320 W CHICAGO AVE,115478,241,1/7/2017,UKRAINIAN INSTITUTE. OF MODERN ART,,"Roper, Katie",,,,yes
242,3241 N RAVENSWOOD AVE,115480,242,1/6/2014,WALKABOUT THEATER COMPANY,,"Rose, Ashley  ",,,,no
243,P.O. Box 19217,115486,243,4/4/2011,GREATER CHATHAM INITIATIVE,,"Rossetti, Bruno",,,,yes
244,5515 N EAST RIVER ROAD EFT,103759,244,1/20/2013,"F.H. PASCHEN S.N. NIELSEN & ASSOCIATES, LLC",,"Roup,Simon",,,,yes
245,547 W 31ST ST,115477,245,1/9/2012,YIN HE DANCE,,"Ruiz, Ricardo",,,,no
246,PO BOX 3555,115455,246,11/5/2012,CHICAGO TRANSITY AUTHORITY.,,"Saada, Adell",,,,yes
247,615 W WELLINGTON AVE FL 2ND,115479,247,7/4/2016,TIMELINE THEATRE COMPANY,,"Saar-Beckles, Melinda",,,,no
248,2418 W BLOOMINGDALE AVE,115457,248,1/5/2009,WOMEN MADE GALLERY,,"Sadki, Nore  ",,,,yes
249,1114 N WOLCOTT AVE # 3R,115465,249,8/30/2010,PETRA BACHMAIER,,"Sahoo, Adil",,,,no
250,2732 N CLARK STREET EFT,96875,250,1/5/2015,GROWING HOME INC,,"Salter, Jason",,,,yes
251,P.O. Box 19217,115486,251,9/29/2014,GREATER CHATHAM INITIATIVE,,"Sander, Kamrin",,,,no
252,223 W JACKSON BOULEVARD EFT,95589,252,9/30/2013,"EMPLOYMENT & EMPLOYER SERVICES, INC.",,"Sewkumar, Nori",,,,yes
253,2149 WEST 18TH PLACE,115459,253,9/30/2014,RUBEN AGUIRRE,,"Shepard, Anita ",,,,yes
254,5535 S ELLIS AVE,115483,254,8/19/2013,COURT THEATRE FUND,,"Shields, Seffi",,,,no
255,6009 N NINA AVE FL 1ST,111379,255,1/5/2015,NORWOOD SENIORS NETWORK ASSOCIATION,,"Simard, Kramer",,,,yes
256,2435 W THOMAS ST APT 1F,115485,256,5/1/2015,INVICTUS THEATRE COMPANY,,"Singh, Nan ",,,,no
257,2300 W 167TH STREET EFT,34429,257,10/26/2009,BRACKEN BOX INC|CLEANED-UP,,"Sloan, Constance",,,,yes
258,2215 SANDERS ROAD EFT XX  2398,35771,258,9/29/2014,KENNY CONSTRUCTION COMPANY,,"Smith, Joe",,,,no
259,7900 W DIVISION STREET EFT,115245,259,5/18/2014,DOMINICAN UNIVERSITY,,"Smith, John",,,,yes
260,DEPT CH 0075,110191,260,9/26/2011,MSC INDUSTRIAL SUPPLY CO,,"Smith, Leigh Ann",,,,no
261,8501 W HIGGINS RD STE 320,53081,261,11/11/2013,"BLINDERMAN CONSTRUCTION COMPANY, INC.",,"Smith, Sade",,,,yes
262,5515 N EAST RIVER ROAD EFT,76224,262,6/10/2011,"F.H. PASCHEN S.N. NIELSEN & ASSOCIATES, LLC",,"Soto, Julia ",,,,yes
263,222 S RIVERSIDE PLAZA EFT,101555,263,6/30/2016,COMMUNITY INITIATIVES INC,,"Soze, Keyser",,,,no
264,PO BOX 856680,30043,264,2/20/2012,NESTLE WATERS NORTH AMERICA,,"Sparks, Taylor  ",,,,yes
265,1151 E WARRENVILLE RD,115408,265,10/2/2012,ILLINOIS HEALTH & HOSPITAL ASSOCIATION,,"Spirea, Kelley",,,,no
266,935 W CHESTNUT ST STE 20,78017,266,5/13/2013,BIGANE PAVING COMPANY/O PLOTE CONSTRUCTION INC JV,,"Squatrito, Kristen",,,,yes
267,6231-6233 N PULASKI RD,83175,267,1/10/2011,CAPITOL CEMENT CO INC,,"Stanford,Barbara  M",,,,no
268,3456 W FRANKLIN BOULEVARD EFT,115403,268,5/12/2014,BOULEVARD OF CHICAGO INC,,"Stansfield, Norman",,,,yes
269,929 W ADAMS STREET EFT,79798,269,9/29/2014,"WALSH CONSTRUCTION COMPANY II, LLC.",,"Steans, Tyrone  ",,,,no
270,255 N CALIFORNIA AVE,19651,270,2/17/2014,"ANCHOR MECHANICAL, INC",,"Stoica, Rick",,,,yes
271,3456 W FRANKLIN BOULEVARD EFT,115403,271,9/27/2010,BOULEVARD OF CHICAGO INC,,"Strong, Caitrin",,,,yes
272,3435 N SHEFFIELD AVE FL 2ND,115242,272,1/8/2009,LINKS HALL STUDIO,,"Sullivan, Kissy ",,,,no
273,6054 S DREXEL AVE,82834,273,1/5/2015,UNIVERSITY OF CHICAGO 03,,"Sullivan, Timothy",,,,yes
274,53 W JACKSON BLVD # 1450,114660,274,5/14/2012,"CHICAGO UNITED INDUSTRIES, LIMITED",,"Sutwell, Barbara",,,,no
275,6054 S DREXEL AVE,82825,275,7/7/2014,UNIVERSITY OF CHICAGO 03,,"Szabo, Andrew",,,,yes
276,1229 W BELMONT AVE FL 1ST,115243,276,4/20/2017,THEATER WIT NFP,,"Tannen, Biff",,,,no
277,1823 W 47TH ST FL 2ND,95336,277,4/27/2009,BACK OF THE YARDS NEIGHBORHOOD COUNCIL,,"Tavares, Desiree  ",,,,yes
278,3715 N SACRAMENTO AVE,115240,278,5/16/2011,TIGHT FIVE PRODUCTIONS,,"Tejeda, Lenora ",,,,no
279,3179 N BROADWAY,97992,279,9/29/2014,TEEN LIVING PROGRAMS INC,,"Terry, Sharlene ",,,,yes
280,7635 LAWNDALE AVE,24589,280,7/5/2011,"SUMMIT TANK & EQUIPMENT CO, INC",,"Theamstern, Sophia",,,,yes
281,2105 W EASTWOOD AVE # 3,115241,281,6/25/2007,THIRD COAST PERCUSSION NFP,,"Thibaud, Kenneth",,,,no
282,6054 S DREXEL AVE,82833,282,2/18/2013,UNIVERSITY OF CHICAGO 03,,"Tippett, Jeanette",,,,yes
283,1040 W RANDOLPH ST,82994,283,1/9/2006,FLEET PORTFOLIO VENTURE LLC,,"Torrence, Jack",,,,no
284,625 SLAWIN CT,28908,284,2/17/2014,HEIDELBERG USA INC.,,"Trang, Mei",,,,yes
285,931 W EASTWOOD AVE,115178,285,1/5/2015,PEOPLE'S MUSIC SCHOOL,,"Tredinnick, Neville ",,,,no
286,641 W LAKE ST # 200,115190,286,2/18/2013,THE SIMPLE GOOD,,"True, Edward",,,,yes
287,2200 N KEDZIE BLVD UNIT 1,115170,287,1/10/2011,ROUGH HOUSE THEATER COMPANY,,"Trzeciak, Cybil",,,,no
288,921 HURON ROAD,115165,288,3/30/2015,SUPERLATIVE GROUP INC,,"Turpin, Jumil",,,,yes
289,1339 S WOOD ST,102881,289,7/5/2011,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,,"Valentin,Jackie",,,,yes
290,6054 S DREXEL AVE,102890,290,8/13/2012,UNIVERSITY OF CHICAGO 03,,"Veera, Abdellah ",,,,no
291,4501 N CLARENDON AVE,115194,291,8/1/2011,KUUMBA LYNX,,"Vega, Vincent",,,,yes
292,1180 N MILWAUKEE AVE FL 2ND,115172,292,3/5/2012,YOUNG CHICAGO AUTHORS,,"Villanueva, Noah",,,,no
293,C/O A. HILTON,115193,293,2/16/2015,POETRY CENTER OF CHICAGO,,"Voldemort, Lord",,,,yes
294,1757 N KIMBALL AVE,115175,294,9/26/2011,OPERA MATIC NFP,,"Volk, Colleen",,,,no
295,6054 S DREXEL AVE,112476,295,7/5/2015,UNIVERSITY OF CHICAGO 03,,"Von Massenbach, Anna",,,,yes
296,C/O CARRIE HANSON,115191,296,8/18/2014,SELDOMS,,"Walker, Roger",,,,no
297,7000 S KING DRIVE,115177,297,9/26/2011,PRAIZE PRODUCTION INC NFP,,"Wallace, Courtney  E",,,,yes
298,4343 N CLARENDON AVE # 2815,115169,298,8/13/2012,SERENDIPITY THEATRE COMPANY,,"Wallace, Theresa",,,,yes
299,3914 N CLARK ST,115179,299,2/15/2017,OTHER WORLD THEATRE,,"Wang, Charlie",,,,no
300,541 N FAIRBANKS COURT EFT,32028,300,3/30/2015,CHICAGO PARK DISTRICT,,"Warfield, Sarah",,,,yes
301,1711 W BELLE PLAINE AVE # 3B,115176,301,1/10/2011,RIVENDELL THEATRE ENSEMBLE,,"Whittier, Scott",,,,no
302,1034 N MILWAUKEE AVE,115181,302,5/16/2011,ROOTS & CULTURE CONTEMP ART,,"Wilber, Barry",,,,yes
303,3717 N RAVENSWOOD AVE STE 245,115167,303,1/10/2011,REMY BUMPO THEATRE COMPANY,,"Wilkes, Annie",,,,no
304,1627 N OAKLEY AVE,115185,304,1/9/2012,ZEPHYR DANCE ENSEMBLE,,"Williams, Jacquelyn  ",,,,yes
305,2215 W GIDDINGS ST,115168,305,1/7/2013,PRIDE FILMS & PLAYS,,"Winthrop, Jordan  ",,,,no
306,6054 S DREXEL AVE,113710,306,9/29/2014,UNIVERSITY OF CHICAGO 03,,"Wolk, Hang  T",,,,yes
307,2001 S CALIFORNIA AVE,115144,307,7/7/2014,"SONRISA DENTAL, P.C.",,"Woodson, Jason",,,,yes
308,226 W JACKSON BLVD,115145,308,9/2/2008,"BOARD OF TRUSTEES OF COMMUNITY COLLEGE DISTRICT #508, COUNTY OF COOK & STATE OF ILLINOIS",,"Ybarra, Catherine ",,,,no
309,HLTH/ SCHOOL OF PUBLIC HLTH,103099,309,4/10/2010,BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,,"Zamora, Jennifer",,,,yes
310,DEPT  #34461,74264,310,3/30/2015,BLX GROUP LLC,,"Zhou, Julia",,,,no
311,,,,,,,,,,,yes
